Stock	Year	Spawners	Recruits
Quesnel	1976	0.000046	0.001233
Quesnel	1977	0.112414	3.864815
Quesnel	1978	0.002587	0.196546
Quesnel	1979	0.000105	0.006011
Quesnel	1980	0.000209	0.002446
Quesnel	1981	0.160717	9.767044
Quesnel	1982	0.004349	0.555386
Quesnel	1983	0.000238	0.040379
Quesnel	1984	0.000098	0.006868
Quesnel	1985	0.33229	12.471835
Quesnel	1986	0.020054	2.532743
Quesnel	1987	0.001098	0.176581
Quesnel	1988	0.000551	0.026342
Quesnel	1989	0.692799	10.619497
Quesnel	1990	0.094792	3.283049
Quesnel	1991	0.011238	0.150867
Quesnel	1992	0.004185	0.029213
Quesnel	1993	0.940432	6.844587
Quesnel	1994	0.259218	2.476373
Quesnel	1995	0.024861	0.167306
Quesnel	1996	0.003046	0.087515
Quesnel	1997	1.50735	4.677208
Quesnel	1998	0.356251	4.739819
Quesnel	1999	0.116867	0.810586
Quesnel	2000	0.021719	0.05381
Quesnel	2001	0.904914	3.691871
Quesnel	2002	0.534532	0.63979
Quesnel	2003	0.106908	0.143028
Quesnel	2004	0.037163	0.012531
Quesnel	2005	1.740454	0.206072
Quesnel	2006	1.312599	0.646033
Quesnel	2007	0.148235	0.073586
Quesnel	2008	0.006629	0.007263
Quesnel	2009	0.474956	0.318351
Quesnel	2010	0.090069	2.528589
Quesnel	2011	0.033601	0.039917
Quesnel	2012	0.002473	0.002643
Quesnel	2013	0.082781	0.149897
Quesnel	2014	0.131545	2.170798
Quesnel	2015	0.016936	0.006297
Quesnel	2016	0.000097	0.000758
Quesnel	2017	0.093727	0.136254
Quesnel	2018	0.430821	1.766657
Chilko	1952	0.364597	1.799904
Chilko	1953	0.033029	0.528558
Chilko	1954	0.006555	0.636547
Chilko	1955	0.057563	1.438974
Chilko	1956	0.233628	2.396538
Chilko	1957	0.094471	0.120511
Chilko	1958	0.021247	0.291933
Chilko	1959	0.075834	2.099156
Chilko	1960	0.368607	0.964857
Chilko	1961	0.083128	0.064296
Chilko	1962	0.070433	0.974191
Chilko	1963	0.272891	1.116906
Chilko	1964	0.244864	1.874731
Chilko	1965	0.015038	0.140915
Chilko	1966	0.042125	0.772105
Chilko	1967	0.057207	1.95668
Chilko	1968	0.13159	2.3713
Chilko	1969	0.020813	0.385793
Chilko	1970	0.107541	0.63113
Chilko	1971	0.090006	0.740253
Chilko	1972	0.181912	1.981889
Chilko	1973	0.025519	0.207582
Chilko	1974	0.050923	0.645809
Chilko	1975	0.097365	1.396383
Chilko	1976	0.332353	1.676112
Chilko	1977	0.030231	0.19327
Chilko	1978	0.071127	1.246777
Chilko	1979	0.133782	1.687672
Chilko	1980	0.228326	4.394455
Chilko	1981	0.020385	0.185203
Chilko	1982	0.08557	1.487694
Chilko	1983	0.14792	1.753748
Chilko	1984	0.293234	0.503604
Chilko	1985	0.020164	0.550437
Chilko	1986	0.142515	4.692771
Chilko	1987	0.213715	4.349335
Chilko	1988	0.283152	3.13746
Chilko	1989	0.034979	3.101966
Chilko	1990	0.165504	2.591261
Chilko	1991	0.268111	1.255045
Chilko	1992	0.206206	1.852267
Chilko	1993	0.042811	3.929559
Chilko	1994	0.497991	1.404652
Chilko	1995	0.597537	1.22432
Chilko	1996	0.319959	1.335165
Chilko	1997	0.322298	0.868494
Chilko	1998	0.253976	0.497517
Chilko	1999	0.298027	1.559255
Chilko	2000	0.504469	0.452112
Chilko	2001	0.509298	1.090728
Chilko	2002	0.467624	1.225485
Chilko	2003	0.432565	0.351206
Chilko	2004	0.395559	0.422076
Chilko	2005	0.331244	0.299762
Chilko	2006	0.21505	4.768344
Chilko	2007	0.334896	1.07245
Chilko	2008	0.049193	0.522333
Chilko	2009	0.285065	1.830773
Chilko	2010	0.261918	2.745906
Chilko	2011	0.156518	0.871682
Chilko	2012	0.068731	0.222796
Chilko	2013	0.127367	0.486825
Chilko	2014	1.18154	1.639635
Chilko	2015	0.457653	0.213908
Chilko	2016	0.090759	0.038111
Chilko	2017	0.624483	1.151133
Chilko	2018	0.669181	1.473817
Seymour	1952	0.00128	0.011156
Seymour	1953	0.003476	0.04487
Seymour	1954	0.004697	0.432402
Seymour	1955	0.011504	0.309325
Seymour	1956	0.00278	0.012737
Seymour	1957	0.002907	0.011959
Seymour	1958	0.012463	0.189334
Seymour	1959	0.005178	0.17556
Seymour	1960	0.001102	0.008697
Seymour	1961	0.007106	0.025649
Seymour	1962	0.044285	0.17035
Seymour	1963	0.025473	0.113939
Seymour	1964	0.001862	0.018498
Seymour	1965	0.001957	0.034707
Seymour	1966	0.027411	0.14117
Seymour	1967	0.026742	0.219687
Seymour	1968	0.001321	0.022108
Seymour	1969	0.00255	0.014617
Seymour	1970	0.012943	0.223705
Seymour	1971	0.007264	0.133969
Seymour	1972	0.002064	0.056465
Seymour	1973	0.003276	0.024381
Seymour	1974	0.003603	0.247377
Seymour	1975	0.009463	0.179019
Seymour	1976	0.001418	0.018384
Seymour	1977	0.00115	0.055279
Seymour	1978	0.025096	0.261195
Seymour	1979	0.015756	0.135215
Seymour	1980	0.004898	0.052838
Seymour	1981	0.002883	0.026268
Seymour	1982	0.030757	0.505718
Seymour	1983	0.024866	0.268723
Seymour	1984	0.004616	0.035843
Seymour	1985	0.005354	0.043244
Seymour	1986	0.027219	0.823036
Seymour	1987	0.014014	0.441906
Seymour	1988	0.009148	0.010843
Seymour	1989	0.002684	0.018809
Seymour	1990	0.057017	0.278691
Seymour	1991	0.04108	0.095449
Seymour	1992	0.007989	0.017906
Seymour	1993	0.002864	0.008716
Seymour	1994	0.108234	0.172547
Seymour	1995	0.060797	0.066023
Seymour	1996	0.003586	0.03947
Seymour	1997	0.00495	0.001944
Seymour	1998	0.019152	0.214222
Seymour	1999	0.023901	0.133899
Seymour	2000	0.00959	0.059563
Seymour	2001	0.000836	0.019042
Seymour	2002	0.014548	0.506803
Seymour	2003	0.010072	0.012076
Seymour	2004	0.01186	0.006918
Seymour	2005	0.003743	0.00782
Seymour	2006	0.055465	1.085737
Seymour	2007	0.018483	0.018273
Seymour	2008	0.000762	0.002355
Seymour	2009	0.002326	0.046967
Seymour	2010	0.057783	0.272881
Seymour	2011	0.005905	0.016966
Seymour	2012	0.000311	0.000819
Seymour	2013	0.003093	0.007838
Seymour	2014	0.287496	0.38585
Seymour	2015	0.007994	0.000858
Seymour	2016	0.000264	0.001609
Seymour	2017	0.013883	0.013032
Seymour	2018	0.057414	0.080977
Adams	1952	0.008502	0.016451
Adams	1953	0.002011	0.029571
Adams	1954	0.583072	15.107801
Adams	1955	0.082094	0.853876
Adams	1956	0.004211	0.007419
Adams	1957	0.001623	0.002206
Adams	1958	1.06764	2.080873
Adams	1959	0.044634	0.374607
Adams	1960	0.002103	0.002333
Adams	1961	0.001651	0.006996
Adams	1962	1.128898	2.751141
Adams	1963	0.08927	3.051092
Adams	1964	0.001322	0.01728
Adams	1965	0.000854	0.024312
Adams	1966	0.652104	3.937025
Adams	1967	0.080246	3.116378
Adams	1968	0.000345	0.020783
Adams	1969	0.001332	0.027967
Adams	1970	0.661765	5.376623
Adams	1971	0.402434	0.680439
Adams	1972	0.002713	0.040407
Adams	1973	0.003166	0.064051
Adams	1974	0.787577	6.898196
Adams	1975	0.159119	1.023083
Adams	1976	0.002155	0.013049
Adams	1977	0.002467	0.093025
Adams	1978	0.619143	9.474629
Adams	1979	0.08554	1.491217
Adams	1980	0.003072	0.021794
Adams	1981	0.006027	0.009466
Adams	1982	1.014791	9.312105
Adams	1983	0.162068	1.963829
Adams	1984	0.001817	0.033071
Adams	1985	0.00595	0.004319
Adams	1986	1.568612	10.814466
Adams	1987	0.100257	3.895414
Adams	1988	0.002403	0.008219
Adams	1989	0.000813	0.012858
Adams	1990	1.068368	7.728193
Adams	1991	0.310451	0.865206
Adams	1992	0.003556	0.019909
Adams	1993	0.000382	0.015343
Adams	1994	1.744387	2.607292
Adams	1995	0.615852	0.771116
Adams	1996	0.00664	0.061102
Adams	1997	0.000753	0.034429
Adams	1998	0.664678	7.162244
